Campaign_ID,Clicks,Impressions,CPC,Conversions,Keyword,Cost,CTR,Conversion_Rate,ROI
39,278,5473,0.9982426699684206,34,Keyword C,277.5114622512209,5.079481088982277,12.23021582733813,1.4503492377710188
29,85,3946,2.4014679274037505,38,Keyword B,204.1247738293188,2.1540800810947793,44.70588235294118,2.723212943449395
15,457,8725,0.6891110382713238,21,Keyword A,314.923744489995,5.237822349570201,4.595185995623632,0.3336561861353812
43,272,1526,3.8295685434511864,40,Keyword C,1041.6426438187227,17.82437745740498,14.705882352941178,-0.23198228802619553
8,55,4224,4.631344484896178,4,Keyword D,254.72394666928977,1.3020833333333335,7.2727272727272725,-0.6859345144182118
21,371,2875,1.7601679829772023,41,Keyword D,653.022321684542,12.904347826086957,11.05121293800539,0.2556998019374298
39,269,2763,4.3625375455960445,22,Keyword A,1173.522599765336,9.735794426348173,8.178438661710038,-0.6250604802259583
19,124,9712,1.81498203707854,16,Keyword B,225.05777259773896,1.2767710049423393,12.903225806451612,0.4218571360872647
23,53,6797,4.598465727397619,11,Keyword B,243.7186835520738,0.7797557746064441,20.754716981132077,-0.09731992314411948
11,384,8099,3.8928285661855275,22,Keyword D,1494.8461694152425,4.741326089640696,5.729166666666666,-0.7056553316304646
11,183,6109,4.122080495786474,15,Keyword B,754.3407307289247,2.9955802913733836,8.19672131147541,-0.6023017347742737
24,167,7644,0.5810295002020452,2,Keyword A,97.03192653374155,2.184720041862899,1.1976047904191618,-0.5877645489591455
36,418,1116,4.832646606833117,29,Keyword D,2020.0462816562429,37.45519713261648,6.937799043062201,-0.7128778655880814
40,143,3433,3.7700194643164546,21,Keyword C,539.112783397253,4.165452956597728,14.685314685314685,-0.22094223521589737
24,484,6463,1.8713799292375999,8,Keyword C,905.7478857509983,7.488782299241838,1.6528925619834711,-0.8233504018976137
3,111,1583,4.232275991864811,28,Keyword B,469.78263509699406,7.012002526847757,25.225225225225223,0.1920406548964483
22,490,9586,1.7668453928671848,46,Keyword D,865.7542425049205,5.111621114124765,9.387755102040817,0.0626572239924902
2,243,4788,4.427392278047575,36,Keyword D,1075.8563235655608,5.075187969924812,14.814814814814813,-0.33076565687339715
24,384,5167,1.0066117568537165,22,Keyword C,386.53891463182714,7.4317785949293595,5.729166666666666,0.13830712340850285
44,252,9465,3.666586898573581,12,Keyword D,923.9798984405425,2.6624405705229797,4.761904761904762,-0.7402540895044766
30,441,2389,2.9331431449020964,31,Keyword D,1293.5161269018245,18.45960652992884,7.029478458049887,-0.5206863006145908
38,75,9357,0.9344051158794837,45,Keyword D,70.08038369096128,0.8015389547932029,60.0,11.842395440766953
2,484,7154,1.5885222271647754,46,Keyword B,768.8447579477513,6.765445904389153,9.50413223140496,0.19660047166832711
21,222,6420,0.5558181632479166,47,Keyword D,123.39163224103747,3.4579439252336446,21.17117117117117,6.618020630149147
33,349,9920,2.6094558445902765,22,Keyword A,910.7000897620065,3.5181451612903225,6.303724928366762,-0.5168552139761122
12,182,3043,1.8556936734200016,44,Keyword B,337.73624856244027,5.98093986197831,24.175824175824175,1.60558351004869
22,375,5197,3.192608679339915,16,Keyword D,1197.228254752468,7.215701366172792,4.266666666666667,-0.7327159639527875
44,459,4496,1.8375701346887774,39,Keyword D,843.4446918221488,10.209074733096084,8.49673202614379,-0.07522092727275938
25,167,1778,1.849636001781431,20,Keyword A,308.889212297499,9.392575928008998,11.976047904191617,0.2949626729429123
49,373,1213,3.8443693942922152,1,Keyword B,1433.9497840709962,30.75020610057708,0.2680965147453083,-0.9860525101909637
27,324,4762,0.7166427619025906,36,Keyword C,232.19225485643935,6.803863922721545,11.11111111111111,2.1008786251081637
42,261,7731,4.563027478363942,5,Keyword C,1190.950171852989,3.3760186263096625,1.9157088122605364,-0.9160334308156564
28,274,4117,4.335187434760316,43,Keyword B,1187.8413571243266,6.655331552101044,15.693430656934307,-0.2759975944245665
